Serial number,Barcode,Product name,Brand,Serving size (g),Sugar per serving (g),Saturated fat per serving (g),Sodium per serving (mg),Protein per serving (g),Fiber per serving (g),Calories per serving (kcal),Scores
195,8901071705806,Hershey's bar cookies and creme,Hershey's,100 g,48 g,16 g,136 mg,5.5 g,NULL,522 kcal,
196,8901071705684,Hershey's dark chocolate bar,Hershey's,100 g,52.3 g,18 g,14.5 mg,5 g,NULL,535 kcal,
197,8901071705622,Hershey's bar dark n rich coffee flavor,Hershey's,100 g,48.8 g,17 g,35.3 mg,5 g,NULL,507 kcal,
198,8000500066027,Kinder bueno crispy creamy bar,Kinder,100 g,41.2 g,17.3 g,107 mg,8.6 g,NULL,572 kcal,
199,5000159563154,Twix cookie caramel chocolate bar,Twix,100 g,48.1 g,13.7 g,158 mg,4.6 g,NULL,493 kcal,
200,80768258,Kinder joy,Kinder,100 g,51 g,32 g,125 mg,8.2 g,NULL,550 kcal,
201,8000500418482,Kinder Schoko Bons crispy,Kinder,100 g,50.7 g,14 g,118 mg,7.5 g,NULL,528 kcal,
202,80824107,Kinder Creamy,Kinder,100 g,48.8 g,14.2 g,134 mg,8.4 g,NULL,539 kcal,
203,8901071705998,Hershey's exotic dark raspberry goji,Hershey's,100 g,66 g,7 g,70 mg,1.8 g,NULL,441 kcal,
204,8901071705950,Hershey's exotic dark blueberry and acai chocolate,Hershey's,100 g,66 g,7 g,70 mg,1.8 g,NULL,441 kcal,
205,7622202336058,Cadbury perk mini treats chocolate coated wafers,Cadbury,100 g,45.1 g,20 g,103 mg,4.7 g,NULL,513 kcal,
206,8901058020281,Munch max brownie,Nestle,100 g,40.1 g,23.3 g,72.6 mg,4.7 g,NULL,444 kcal,
207,8000500009673,Ferrero rocher,Ferrero,100 g,39.4 g,14.1 g,60 mg,8.2 g,NULL,603 kcal,
208,8000500411469,Ferrero rocher moments,Ferrero,100 g,45.5 g,11.6 g,70 mg,7.9 g,NULL,526 kcal,
209,80052487,Confetteria Raffaello coconut and white almond,Confetteria,100 g,33.6 g,29.5 g,105 mg,7.4 g,NULL,627 kcal,
210,8901071706421,Hershey's choco tube - creamy milk,Hershey's,100 g,52 g,17 g,150 mg,5 g,NULL,483 kcal,
211,8902433003707,Galaxy smooth milk chocolate bar,Galaxy,100 g,56.3 g,20.3 g,43 mg,6.4 g,NULL,553 kcal,
212,7622202335457,Cadbury nutties chocolate mini treats,Cadbury,100 g,61.5 g,13.9 g,117 mg,5 g,NULL,511 kcal,
213,8901071704489,Hershey's kisses special dark n almonds,Hershey's,100 g,40 g,19 g,45 mg,7.5 g,NULL,570 kcal,
214,7622202334450,Cadbury 5 star oreo chocolate bar,Cadbury,100 g,51 g,21.6 g,225 mg,4.4 g,NULL,516 kcal,
215,8901058009002,Milkybar choo strawberry flavour treats,Nestle,100 g,52 g,13.6 g,93.1 mg,5 g,NULL,436 kcal,
216,8901262070539,Amul fruit nut 55% dark chocolate,Amul,100 g,38.3 g,16.2 g,33 mg,7.2 g,NULL,499 kcal,
217,7622202326141,Cadbury dairy milk silk hazelnut chocolate bar,Cadbury,100 g,46.6 g,19.2 g,104 mg,8.7 g,NULL,566 kcal,
218,7622202335518,Cadbury dairy milk lickabels chocolate with oreo chunks,Cadbury,100 g,39.6 g,15.5 g,222 mg,7 g,NULL,490 kcal,
219,8901262070546,Amul choco minis chocolate,Amul,100 g,51 g,27.1 g,NULL,5.5 g,NULL,545 kcal,
220,8901058028034,Milkybar mosha caramel nougat bar,Nestle,100 g,49.2 g,13.6 g,86.4 mg,3.8 g,NULL,429 kcal,
221,8901071701938,Hershey's kisses milk chocolate,Hershey's,100 g,54 g,18 g,100 mg,8 g,NULL,534 kcal,
222,8901071701952,Hershey's kisses cookies n creme chocolate,Hershey's,100 g,54.4 g,17.5 g,200 mg,6.6 g,NULL,534 kcal,
223,6221134030204,Bounty chocolate filled chocolate bar,Bounty,100 g,48.1 g,21.2 g,103 mg,3.8 g,NULL,487 kcal,
224,8901058020021,Munch max nuts double choco coated bar,Nestle,100 g,36.1 g,22.7 g,189 mg,7.8 g,NULL,452 kcal,
225,7622202324925,Cadbury dairy milk bites almond chocolate pack,Cadbury,100 g,42.6 g,17 g,120 mg,NULL,NULL,551 kcal,
226,8909081010552,Sunfeast dark fanatsy swiss roll,Sunfeast,100 g,40 g,9 g,122.4 mg,4.9 g,NULL,405 kcal,
227,7622202818783,Cadbury chocobakes choc layered cake,Cadbury,100 g,40.3 g,14.1 g,203 mg,3.8 g,NULL,466 kcal,
228,8901063368668,Britannia gobbles bar cake fruity fun,Britannia,100 g,30.2 g,17.3 g,252.6 mg,5.7 g,NULL,415 kcal,
229,7622202329173,Cadbury brownie,Cadbury,100 g,37 g,11 g,207 mg,5 g,NULL,438 kcal,
230,8908009059628,The health factory mini cakes rich vanilla,The health factory,100 g,17.06 g,5.17 g,489 mg,6.1 g,6.57 g,435.32 kcal,
231,8906076131513,The baker's dozen banana walnut cake zero maida,The baker's dozen,100 g,22 g,2 g,60 mg,9 g,3 g,448 kcal,
232,8901063365964,Britannia gobbles bar choco fills,Britannia,100 g,27.7 g,10.1 g,80 mg,6.2 g,NULL,418 kcal,
233,8906076133050,The baker's dozen chocochip muffins eggless,The baker's dozen,100 g,31 g,2 g,110 mg,7 g,3 g,340 kcal,
234,8906005618177,Winkies sliced marble cake,Winkies,100 g,27.5 g,NULL,NULL,7.62 g,NULL,408 kcal,
235,8908009419682,Bauli spyroll cake,Bauli,100 g,32.13 g,6.38 g,523 mg,6.85 g,NULL,351 kcal,
236,8908009419002,Bauli moonfills crossiant chocolate creme,Bauli,100 g,21.8 g,11 g,213.3 mg,6.9 g,NULL,398 kcal,
237,8901063032446,Britannia treat crossiant cocoa creme,Britannia,100 g,22.3 g,13.8 g,151 mg,6.4 g,NULL,459 kcal,
238,80177425,Nutella hazlenut spread,Nutella,100 g,56.3 g,10.6 g,NULL,6.3 g,NULL,539 kcal,
239,8901262301411,Amul tru berry dazzle ice cream tub,Amul,100 g,26 g,6.5 g,49 mg,3.5 g,NULL,217 kcal,
240,8901262173483,Amul tub fruit N nut fantasy ice cream tub ,Amul,100 g,22.3 g,7.6 g,49 mg,4 g,NULL,226 kcal,
241,8908024807259,Go Zero choco delight guilt free ice cream tub,Go zero,100 g,3.3 g,2 g,29.4 mg,2.2 g,2 g,80 kcal,
242,8901262178075,Amul chocolate magic ice cream sundae tub,Amul,100 g,20.7 g,10.5 g,NULL,NULL,NULL,272 kcal,
243,8901648080879,Mother dairy no added sugar vanilla ice cream tub,Mother dairy,100 g,0 g,NULL,NULL,4.1 g,NULL,28 kcal,
244,89010307355097,Kwality wall's vanilla ice cream tub,Kwality walls,100 g,12 g,4.4 g,36 mg,2 g,0.1 g,119 kcal,
245,8901262300537,Amul gold mango duetz ice cream stick,Amul,52 g,22 g,4.6 g,32 mg,2.1 g,NULL,169 kcal,
246,8906057440856,Giani's no added sugar chocolate ice cream tub,Giani's,100 g,6.4 g,6.7 g,27 mg,5 g,NULL,218 kcal,
247,8908024807181,Go Zero only vanilla guilt free ice cream tub,Go zero,100 g,3.4 g,2.3 g,36 mg,2.2 g,1.6 g,81 kcal,
248,8901262174350,Amul tricone cookie crunch delight ice cream cone,Amul,100 g,29.1 g,16.1 g,28.2 mg,4.2 g,NULL,349.4 kcal,
249,8901030953408,Kwality wall's oreo and cream frozen dessert tub,Kwality walls,100 g,23.7 g,6.6 g,88 mg,3.7 g,0.5 g,237 kcal,
250,8901030953408,Kwality wall's cadbury crackle frozed dessert tub,Kwality walls,100 g,27.83 g,7.5 g,71 mg,3.8 g,1.3 g,255 kcal,
